Player,09/09vs. NWE,09/16vs. TEN,09/23vs. NYG,09/30vs. IND,10/07vs. DAL,10/14vs. BUF,10/21vs. JAX,10/25vs. MIA,11/04vs. DEN,11/18vs. WAS,11/26vs. TEN,12/02vs. CLE,12/09vs. IND,12/15vs. NYJ,12/23vs. PHI,12/30vs. JAX,01/05vs. IND
Tyrell Adams,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,
Johnson Bademosi,,Q,,,,,,,,,,,,,,,
Jadeveon Clowney,,Q,,,,,,,Q,,,,,,,,
Sammie Coates,Q,Q,Q,,,,,,,,Q,,,,,,
Dylan Cole,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Aaron Colvin,,,,,O,O,O,O,Q,Q,,,,,,,
Keke Coutee,Q,Q,Q,,Q,,,O,Q,Q,,Q,Q,Q,Q,Q,
Christian Covington,,Q,,,,,,,,,,,,,,,
Zach Cunningham,,,,,,,,,O,Q,,,,,,,
Brandon Dunn,,,,,,,,,,,,,,,Q,Q,
Duke Ejiofor,Q,Q,,,,,,,,Q,Q,,,,,,
Bruce Ellington,,,,IR,IR,IR,IR,IR,IR,,IR,,,IR,IR,IR,IR
D'Onta Foreman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,
Will Fuller,Q,Q,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Fulton,,,,,,,Q,O,,,Q,,O,Q,,,
Matthew Godin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Griffin,,,,,,,O,O,,,,,,,,,
Andre Hal,IR,IR,IR,IR,IR,IR,,O,Q,,,,,Q,,,
Ben Heeney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Seantrel Henderson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAndre Hopkins,,Q,,Q,,,,,,,,,,,Q,,
Kevin Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnathan Joseph,,,,,,,,,Q,Q,,,Q,,Q,Q,
Senio Kelemete,,,,,,,,,,,Q,,,,Q,,
Jermaine Kelly Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lamar Miller,,,,,Q,,,,,,,,,,Q,,
Brian Peters,,,,,O,O,O,O,,,,,,,,,
Jevoni Robinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brennan Scarlett,,,,,,,,,,,,,Q,IR,IR,IR,IR
Jordan Thomas,,,Q,,,,,,,,,,,,,,
Michael Tyson,,,,,,,,,,,,,,,O,,IR
Deshaun Watson,,,,,,Q,,,,,,,,,,,
J.J. Watt,,,,,,,,,,,,Q,,,,,
Kayvon Webster,O,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Shareece Wright,,,,Q,,,O,O,,,,,,,,,
