Player,09/10vs. JAX,09/14vs. CIN,09/24vs. NWE,10/01vs. TEN,10/08vs. KAN,10/15vs. CLE,10/29vs. SEA,11/05vs. IND,11/12vs. LAR,11/19vs. ARI,11/27vs. BAL,12/03vs. TEN,12/10vs. SFO,12/17vs. JAX,12/25vs. PIT,12/31vs. IND
Jeff Allen,,O,O,,,,,,,,,,,,O,O
Stephen Anderson,,O,,,,,,,,,,,,,,
Alfred Blue,O,O,Q,,,,,,,Q,,,O,,,
Marcus Burley,,,,Q,,,,,,,,,,,,
Chris Clark,,,,,,,O,,,,,IR,IR,IR,IR,IR
Jadeveon Clowney,,,,,,,,,,,,,,Q,,
Dylan Cole,,,,,,,O,O,O,O,,,,,,
Christian Covington,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Cushing,,O,,,,,,,,,,,,,,
Julie'n Davenport,,,,,,,,,,O,O,O,O,,,
Brandon Dunn,,,Q,,,,,,,,,,,,,
Bruce Ellington,,O,,,,,,,,,,,IR,IR,IR,IR
Tyler Ervin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Fiedorowicz,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR
D'Onta Foreman,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Kyle Fuller,,,,,O,,,,,,,,,,,
Will Fuller,O,O,O,,,,,,,O,O,O,,,,
Matthew Godin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deante Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Griffin,,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Joel Heath,,,,,,,O,O,O,Q,,,,,,
Ben Heeney,,,,,O,O,,,,,,IR,IR,IR,IR,IR
DeAndre Hopkins,,,,,,,,,,,,,,Q,,O
Jelani Jenkins,,,,,,,Q,,,,,,O,O,,
Kevin Johnson,,,O,O,O,O,,,,,,,,,,
Johnathan Joseph,,,,,,,,Q,,,,,,,,
Kendall Lamm,,,,,,,,,,,,,,O,O,Q
Kendall Langford,,,,,,,Q,,,,,,,,,
LaTroy Lewis,,,,,,,,,,,,,,,O,Q
Greg Mancz,,,,O,Q,Q,,,,Q,O,,,,,
Nick Martin,,,,,,,,,,,,,,,IR,IR
Benardrick McKinney,,,,,,Q,,,,,,,,,,
Whitney Mercilus,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Braxton Miller,,,,,,,,,,,,,O,O,,
Corey Moore,,,,,,O,,,,,,,,,,IR
Derek Newton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
MyCole Pruitt,,,,,,,,,,,,,,IR,IR,IR
D.J. Reader,,,,,,,,,,,,,,,IR,IR
Tom Savage,,,,,,,,,,,,,,IR,IR,IR
Brennan Scarlett,,,,,,,,,,,,IR,IR,IR,IR,IR
Devin Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Su'a-Filo,,,,,,,,,,,,,Q,,,
Chris Thompson,,,,,,,,,,Q,,,,,,
Jordan Todman,,,,,,O,,,,,,,,,,O
Deshaun Watson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.J. Watt,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR
