Player,09/13vs. GNB,09/20vs. IND,09/27vs. TEN,10/04vs. HOU,10/11vs. SEA,10/18vs. ATL,11/01vs. GNB,11/08vs. DET,11/16vs. CHI,11/22vs. DAL,11/29vs. CAR,12/06vs. JAX,12/13vs. TAM,12/20vs. CHI,12/25vs. NOR,01/03vs. DET
Dan Bailey,,,,,,,,,,,,,,,,Q
Anthony Barr,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Boone,,,Q,,,,,,,,,,,,,
Kris Boyd,,,Q,D,Q,O,,,,,,,,IR,IR,IR
Jordan Brailford,,,,,,,,,,,O,,,,,
Dan Chisena,,,,,,,O,,,,,,,,,
Ezra Cleveland,,,,,,,,,,O,O,,,,,
Dalvin Cook,,,,,,O,Q,,,,,,,,,O
Austin Cutting,,,,,,,,,C19,,,,,,,
Cameron Dantzler,,O,O,,,,C19,O,Q,Q,,,,,,O
Todd Davis,,,,,,,C19,C19,C19,,,,,,D,
Myles Dorn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Troy Dye,,,IR,IR,IR,IR,IR,,,,,,,,O,
Pat Elflein,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Mark Fields II,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,
Ben Gedeon,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,
C.J. Ham,,,,,,,,,,C19,,,,,Q,
Harrison Hand,,,,,,,,Q,,,,,,,,
Holton Hill,,,,,Q,D,O,O,IR,IR,IR,IR,,,,
Jalyn Holmes,,,,,,,,,,,,,,,O,O
Mike Hughes,,,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danielle Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
George Iloka,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Jones,,,,,,,,,,,,,,,,O
Eric Kendricks,,,,,,,,,,,,,O,O,O,O
Alexander Mattison,,,,,,,,,,,,O,O,Q,O,
Ifeadi Odenigbo,,,,,,,,,,,,,,,,O
K.J. Osborn,,,,,O,O,,,,,,,,,,
Michael Pierce,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quentin Poling,//,,,,,,,,,,,,,,,
Riley Reiff,,,,,,,,,,,,,,,,C19
Kyle Rudolph,,,,,,,,,,,,,D,O,O,IR
Dru Samia,,,,,,O,,,,C19,C19,,,,,
Cameron Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Irv Smith Jr.,,,,,,,,,O,Q,D,O,Q,,,
Adam Thielen,,,,,,,,,,,C19,,,,,
Armon Watts,,,,,,,,,,,,,,,Q,
Kenny Willekes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Wonnum,,,,,,,,,,,,O,,,,
