Player,09/09vs. PIT,09/16vs. NOR,09/20vs. NYJ,09/30vs. OAK,10/07vs. BAL,10/14vs. LAC,10/21vs. TAM,10/28vs. PIT,11/04vs. KAN,11/11vs. ATL,11/25vs. CIN,12/02vs. HOU,12/09vs. CAR,12/15vs. DEN,12/23vs. CIN,12/30vs. BAL
C.J. Board,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pharaoh Brown,,,,,,,,,,,,,IR,IR,IR,IR
James Burgess,D,,,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Callaway,,,,,,,,,Q,,,,,,,
Orson Charles,,,,,,,,,,,,,,IR,IR,IR
Austin Corbett,,,,,,,,,,,,O,O,O,Q,
Justin Currie,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Seth Devalve,,O,O,Q,,,,,,,,,,,,
E.J. Gaines,O,,,,,,O,O,,IR,IR,IR,IR,IR,IR,IR
Phillip Gaines,,,,,,,,,,,,,Q,Q,Q,
Josh Gordon,,O,IR,,IR,,,IR,,,,,,IR,IR,IR
Desmond Harrison,,,,,,,,,Q,Q,,,,,,
Rashard Higgins,,,,,,O,O,O,Q,,,,,,,
Lenny Jones,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christian Kirksey,,Q,D,,Q,,,,,IR,IR,IR,IR,IR,IR,IR
Jarvis Landry,,,Q,,,,,,,,,,,,,
Ricardo Louis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrance Mitchell,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
David Njoku,,,,,,,,,,Q,Q,,,,,
Emmanuel Ogbah,,O,O,,,,,,,,,,,,,
Jabrill Peppers,,,,,,,,,,,,,,,Q,
Damarious Randall,,,Q,Q,Q,,,Q,Q,Q,,Q,,,,
Joe Schobert,,,,,,,O,O,O,Q,,,,,,
Da'Mari Scott,,,,,,,,Q,Q,Q,,,,,,
Rod Streater,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyrod Taylor,,,,Q,,,,,,,,,,,,
Chad Thomas,IR,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Tavierre Thomas,,,,,,,,,Q,,,,,,,
J.C. Tretter,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
Tanner Vallejo,,,,,,O,,,,,,,,,IR,IR
Danny Vitale,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,
Denzel Ward,,,,,,,,,,Q,,,O,O,,O
Marquez Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Willies,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Howard Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
