Player,09/09vs. HOU,09/15vs. LAR,09/22vs. SEA,09/29vs. DAL,10/06vs. TAM,10/13vs. JAX,10/20vs. CHI,10/27vs. ARI,11/10vs. ATL,11/17vs. TAM,11/24vs. CAR,11/28vs. ATL,12/08vs. SFO,12/16vs. IND,12/22vs. TEN,12/29vs. CAR,01/05vs. MIN
Kiko Alonso,,,,,,,,,,,,,O,O,O,,
Alex Anzalone,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eli Apple,,,,,,,,,,,,,,,,O,O
Terron Armstead,,,,,,,,,,,,O,Q,,,,
Johnson Bademosi,,,,,,,,,,,,,,O,IR,IR,IR
Vonn Bell,,,,,,,,,,,,,,O,O,O,
Drew Brees,,,O,O,O,O,O,Q,,,,,,,,,
Austin Carr,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Will Clapp,,,,O,,,,,,,,Q,Q,,,,
William Compton,IR,,,,,,,,,,,,,,,,
Jared Cook,,,,,,,O,O,,,,,,,,,
Marcus Davenport,,,,,,,,,,,,,,IR,IR,IR,IR
Matthew Dayes,IR,IR,,,,,,,,,,,,,,,
Mario Edwards,O,,,,,,,,,,,,,,,,
Kaden Elliss,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chauncey Gardner-Johnson,,,,,,,,,,,,,,,Q,,
J.T. Gray,,,,,,,,Q,,,,,,,,,
Garrett Griffin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Saquan Hampton,,,,,,,,,,,,,,,IR,IR,IR
Chase Hansen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deonte Harris,,,,,,,,,,O,O,Q,,,,,
Trey Hendrickson,,,,,O,O,O,,,,,,,,,,
Krishawn Hogan,,,,,,,,,,,,,,,,IR,IR
Colton Jumper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alvin Kamara,,,,,,Q,O,Q,,,,,,,,,
Keith Kirkwood,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Klein,,,,,,,,,,,,,O,,,,
Marshon Lattimore,,,,,,,,,,O,Q,Q,,,,,
Zach Line,,,,,,,,,,,O,O,O,,,Q,O
Josh Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrus Peat,,,,,,,,,,O,O,O,O,O,Q,,
Sheldon Rankins,O,O,O,Q,,,,,,,,,,IR,IR,IR,IR
Craig Robertson,Q,,,,,,,,,,,,,,,,
Patrick Robinson,,,,,,,,O,Q,,,,Q,O,Q,,
Tre'Quan Smith,,,O,O,,O,O,O,,,,,,,,,
Cameron Tom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Vander Laan,,,,,,,,,,,,,O,IR,IR,IR,IR
Larry Warford,,,,,,,,,,,,,,,O,,
Marcus Williams,,,,,,,,,,,,,,,,O,
