,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Nate Abrams,,23.0,E,1,0.0,145.0,5-4,none,12/25/1898,Rook,,,1921,
1,1,Norm Barry,,24.0,BB,5,5.0,170.0,5-10,Notre Dame,12/25/1897,Rook,,,1921,
2,2,Cub Buck,,29.0,T,6,6.0,259.0,6-0,Wisconsin,8/7/1892,1,,,1921,
3,3,Joe Carey,,24.0,G,6,4.0,195.0,6-2,Illinois Tech,3/4/1897,1,,,1921,
4,4,James Cook,,33.0,G,2,1.0,220.0,6-3,Notre Dame,11/27/1888,Rook,,,1921,
5,5,Frank Coughlin,,25.0,T,5,5.0,220.0,6-3,Notre Dame,2/28/1896,Rook,,,1921,
6,6,Billy DuMoe,,23.0,E,6,6.0,175.0,5-10,none,3/14/1898,Rook,,,1921,
7,7,Dave Hayes,,25.0,E,6,6.0,165.0,5-8,Notre Dame,3/24/1896,Rook,,,1921,
8,8,Tubby Howard,,27.0,E,4,0.0,210.0,5-10,"Ripon,Wisconsin,Indiana",6/10/1894,Rook,,,1921,
9,9,Emmett Keefe,,28.0,G,1,0.0,195.0,5-10,Notre Dame,4/28/1893,1,,,1921,
10,10,Fee Klaus,,19.0,C,4,2.0,190.0,5-9,none,9/26/1902,Rook,,,1921,
11,11,Adolph Kliebhan,,24.0,B,1,1.0,,,none,8/14/1897,Rook,,,1921,
12,12,Wally Ladrow,,26.0,HB,1,0.0,180.0,5-9,none,10/16/1895,Rook,,,1921,
13,13,Curly Lambeau,,23.0,TB,6,5.0,187.0,5-10,"Wisconsin,Notre Dame",4/9/1898,Rook,,,1921,
14,14,Grover Malone,,26.0,HB,6,6.0,175.0,5-8,Notre Dame,9/19/1895,1,,,1921,
15,15,Herman Martell,,21.0,E,1,0.0,155.0,5-8,none,12/8/1900,Rook,,,1921,
16,16,Ray McLean,,24.0,FB,3,0.0,155.0,5-7,none,9/13/1897,Rook,,,1921,
17,17,Jab Murray,,29.0,E,6,5.0,219.0,6-1,Marquette,10/28/1892,Rook,,,1921,
18,18,Sammy Powers,,24.0,G,4,1.0,170.0,5-10,none,5/26/1897,Rook,,,1921,
19,19,Art Schmaehl,,27.0,FB,6,6.0,170.0,5-8,none,2/5/1894,Rook,,,1921,
20,20,Warren Smith,,,G,2,2.0,175.0,,Western Michigan,0/0/0,Rook,,,1921,
21,21,Buff Wagner,,24.0,B,4,1.0,165.0,5-9,Carroll (WI),5/31/1897,Rook,,,1921,
22,22,Cowboy Wheeler,,23.0,E,3,0.0,180.0,5-9,Ripon,2/7/1898,Rook,,,1921,
23,23,Milton Wilson,,24.0,G,6,4.0,200.0,5-10,Wisconsin–Oshkosh,5/29/1897,Rook,,,1921,
24,24,Marty Zoll,,21.0,G,1,0.0,185.0,5-8,none,11/12/1900,Rook,,,1921,
25,25,Team Total,,23.8,,6,,178.4,5-4.2,,,0.2,,,1921,
26,0,Cub Buck,,30.0,T,10,10.0,259.0,6-0,Wisconsin,8/7/1892,2,,,1922,
27,1,Tommy Cronin,,26.0,HB,5,1.0,170.0,5-9,"Loras,Marquette",4/29/1896,Rook,,,1922,
28,2,Pahl Davis,,19.0,G,7,2.0,185.0,5-10,"Wisconsin–Oshkosh,Marquette",6/4/1903,Rook,,,1922,
29,3,Pat Dunnigan,,28.0,T,2,2.0,206.0,5-10,Minnesota,1/24/1894,Rook,,,1922,
30,4,Jug Earp,,25.0,C,7,7.0,236.0,6-0,Monmouth (IL),7/22/1897,1,,,1922,
31,5,Doc Fay,,27.0,E,1,0.0,175.0,,Marquette,11/27/1895,Rook,,,1922,
32,6,Gus Gardella,,27.0,FB,7,3.0,190.0,5-6,none,10/15/1895,Rook,,,1922,
33,7,Moose Gardner,14.0,28.0,G,9,7.0,220.0,6-1,Wisconsin,7/2/1894,2,,,1922,
34,8,Ed Glick,,22.0,B,6,1.0,165.0,5-8,"Lawrence,Marquette",4/23/1900,Rook,,,1922,
35,9,Dave Hayes,,26.0,E,7,6.0,165.0,5-8,Notre Dame,3/24/1896,1,,,1922,
36,10,Tubby Howard,,28.0,E,8,7.0,210.0,5-10,"Ripon,Wisconsin,Indiana",6/10/1894,1,,,1922,
37,11,Curly Lambeau,,24.0,TB,8,6.0,187.0,5-10,"Wisconsin,Notre Dame",4/9/1898,1,,,1922,
38,12,Dutch Lauer,,24.0,B,2,1.0,185.0,5-10,Detroit Mercy,1/8/1898,Rook,,,1922,
39,13,Dewey Lyle,,31.0,G,2,2.0,196.0,5-11,Minnesota,3/23/1891,2,,,1922,
40,14,Charlie Mathys,,25.0,BB,10,10.0,165.0,5-7,"Ripon,Indiana",6/27/1897,1,,,1922,
41,15,Stan Mills,,26.0,FB,8,8.0,180.0,5-9,Penn St.,12/3/1896,Rook,,,1922,
42,16,Jab Murray,,30.0,E,3,3.0,219.0,6-1,Marquette,10/28/1892,1,,,1922,
43,17,Peaches Nadolney,,23.0,G,8,2.0,211.0,5-11,Notre Dame,5/23/1899,Rook,,,1922,
44,18,Wally Niemann,,28.0,C,8,8.0,180.0,5-11,Michigan,4/21/1894,Rook,,,1922,
45,19,Rip Owens,,28.0,G,3,2.0,220.0,5-10,"Nebraska,Lawrence",12/9/1894,Rook,,,1922,
46,20,Pete Regnier,,26.0,WB,5,4.0,170.0,,Minnesota,9/10/1896,1,,,1922,
47,21,Joe Secord,,25.0,C,2,2.0,190.0,,none,8/22/1897,Rook,,,1922,
48,22,Rex Smith,,26.0,E,2,0.0,195.0,6-0,"Wisconsin–LaCrosse,Beloit",3/8/1896,Rook,,,1922,
49,23,Biff Taugher,,27.0,FB,2,1.0,185.0,5-10,"Carroll (WI),Marquette",3/2/1895,Rook,,,1922,
50,24,Eddie Usher,,24.0,B,5,5.0,192.0,5-11,Michigan,6/19/1898,1,,,1922,
51,25,Cowboy Wheeler,,24.0,E,9,5.0,180.0,5-9,Ripon,2/7/1898,1,,,1922,
52,26,Whitey Woodin,,28.0,G,6,5.0,208.0,5-10,Marquette,11/29/1894,Rook,,,1922,
53,27,Carl Zoll,,23.0,G,1,0.0,215.0,5-9,none,1/28/1899,Rook,,,1922,
54,28,Team Total,,26.0,,10,,195.0,5-2.5,,,0.5,,,1922,
55,0,Myrt Basing,,23.0,B,9,7.0,190.0,5-9,Lawrence,10/29/1900,Rook,,,1923,
56,1,Cub Buck,,31.0,T,10,10.0,259.0,6-0,Wisconsin,8/7/1892,3,,,1923,
57,2,Jug Earp,,26.0,C,8,8.0,236.0,6-0,Monmouth (IL),7/22/1897,2,,,1923,
58,3,Moose Gardner,14.0,29.0,G,9,7.0,220.0,6-1,Wisconsin,7/2/1894,3,,,1923,
