,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Sam Mills,51.0,36.0,LB,16,16.0,229.0,5-9,Montclair St.,6/3/1959,9,13.0,,1995,
1,1,Brett Maxie,39.0,33.0,DB,16,16.0,194.0,6-2,Texas Southern,1/13/1962,10,10.0,,1995,
2,2,Greg Kragen,71.0,33.0,NT,16,14.0,263.0,6-3,Utah St.,3/4/1962,10,10.0,,1995,
3,3,Mike Fox,93.0,28.0,DE,16,16.0,285.0,6-8,West Virginia,8/5/1967,5,10.0,New York Giants / 2nd / 51st pick / 1990,1995,
4,4,Carlton Bailey,54.0,31.0,LB,16,14.0,242.0,6-3,North Carolina,12/15/1964,7,9.0,Buffalo Bills / 9th / 235th pick / 1988,1995,
5,5,Darion Conner,56.0,28.0,LB,16,16.0,250.0,6-2,Jackson St.,9/28/1967,5,9.0,Atlanta Falcons / 2nd / 27th pick / 1990,1995,
6,6,Gerald Williams,98.0,32.0,NT,16,16.0,290.0,6-3,Auburn,9/8/1963,9,9.0,Pittsburgh Steelers / 2nd / 36th pick / 1986,1995,
7,7,Tim McKyer,22.0,32.0,DB,16,16.0,174.0,6-0,Texas-Arlington,9/5/1963,9,9.0,San Francisco 49ers / 3rd / 64th pick / 1986,1995,
8,8,Lamar Lathon,57.0,28.0,ROLB,15,15.0,260.0,6-3,Houston,12/23/1967,5,9.0,Houston Oilers / 1st / 15th pick / 1990,1995,
9,9,Pat Terrell,40.0,27.0,DB,16,13.0,204.0,6-1,Notre Dame,3/18/1968,5,8.0,Los Angeles Rams / 2nd / 49th pick / 1990,1995,
10,10,Mark Carrier,83.0,30.0,WR,16,14.0,186.0,6-0,Nicholls St.,10/28/1965,8,7.0,Tampa Bay Buccaneers / 3rd / 57th pick / 1987,1995,
11,11,Tyrone Poole,38.0,23.0,DB,16,13.0,188.0,5-8,Fort Valley St.,2/3/1972,Rook,7.0,Carolina Panthers / 1st / 22nd pick / 1995,1995,
12,12,Curtis Whitley,64.0,26.0,C,16,16.0,295.0,6-1,"Chowan,Clemson",5/10/1969,3,6.0,San Diego Chargers / 5th / 117th pick / 1992,1995,
13,13,Blake Brockermeyer,78.0,22.0,T,16,16.0,295.0,6-4,Texas,4/11/1973,Rook,6.0,Carolina Panthers / 1st / 29th pick / 1995,1995,
14,14,Willie Green,86.0,29.0,WR,16,7.0,185.0,6-4,Mississippi,4/2/1966,4,6.0,Detroit Lions / 8th / 194th pick / 1990,1995,
15,15,Matt Elliott,52.0,27.0,G,15,14.0,288.0,6-3,Michigan,10/1/1968,3,5.0,Washington Redskins / 12th / 336th pick / 1992,1995,
16,16,Frank Garcia,65.0,23.0,C,15,14.0,302.0,6-2,Washington,1/28/1972,Rook,5.0,Carolina Panthers / 4th / 132nd pick / 1995,1995,
17,17,Kerry Collins,12.0,23.0,QB,15,13.0,247.0,6-5,Penn St.,12/30/1972,Rook,5.0,Carolina Panthers / 1st / 5th pick / 1995,1995,
18,18,Derrick Moore,20.0,28.0,RB,13,10.0,229.0,6-0,"Troy,NE State (OK)",10/13/1967,2,4.0,Atlanta Falcons / 8th / 216th pick / 1992,1995,
