Player,09/10vs. BUF,09/17vs. OAK,09/24vs. MIA,10/01vs. JAX,10/08vs. CLE,10/15vs. NWE,10/22vs. MIA,10/29vs. ATL,11/02vs. BUF,11/12vs. TAM,11/26vs. CAR,12/03vs. KAN,12/10vs. DEN,12/17vs. NOR,12/24vs. LAC,12/31vs. NWE
Terrence Brooks,,,,,,,,,D,,,,,,,
Brandin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Juston Burris,,,,,Q,,,,,,,O,,,,
Bruce Carter,,O,,,,,,,,,,,O,,,
Morris Claiborne,,,,,,,,,Q,Q,,,,,,
Jeremy Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Xavier Coleman,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Cooper,,,,,,,,,,,,Q,,,,
Dylan Donahue,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kony Ealy,,,,,O,,,,,,,,,,,Q
Quincy Enunwa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brisly Estime,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Forte,,,,O,O,,,,,O,Q,Q,Q,Q,Q,Q
Chris Gragg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonotthan Harrison,,O,,,,,,,,Q,,,,,,
Anthony Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,
Wesley Johnson,,,,,,,,,,,,,,,Q,
Akeem Judd,,,,,,,,,,,,,,,,Q
Bryson Keeton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Leggett,,O,D,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Lemonier,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Martin,,,,D,O,,,,,,,,,,,
Lorenzo Mauldin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh McCown,,,,,,,,,,,,,,IR,IR,IR
Elijah McGuire,,,,,,,,,,,,,,,Q,
Doug Middleton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rontez Miles,O,O,D,,,,,,,,,,,,,
Brian Parker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quinton Patton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charone Peake,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bilal Powell,,,,,,Q,,,,,,,,,,
Darryl Roberts,,,,,O,,,,,,,,,,,
Edmond Robinson,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Seferian-Jenkins,,,,,,,,,,,,,,,,D
Brandon Shell,,,,D,,,,O,D,,,,,,,O
Buster Skrine,,,,,,,,O,,,,,,,,
Devin Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
ArDarius Stewart,,,,,,,,,,Q,,,,,,
Ed Stinson,,,,,,,,,,O,,,,,,
Lawrence Thomas,,,,,,,,,O,,,,,,,
Eric Tomlinson,,O,O,,,,,,,,,,,,,
Will Tye,,,Q,,,,,,,,,,,,,
Corey White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Muhammad Wilkerson,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,,,O,,
Brian Winters,,,O,,,,,,,Q,Q,Q,Q,Q,IR,IR
